GEOID,median_home_value,median_home_value_owner,median_gross_rent_x,median_year_built,median_hh_income,monthly_owner_cost,median_gross_rent_y,avg_housing_cost,ht_cost_very_low_income,ht_cost_low_income,ht_cost_moderate_income,affordability_pctile_very_low,affordability_pctile_low,affordability_pctile_moderate,lmi_population,total_population,lmi_pct,hh_at_30pct_ami,hh_at_50pct_ami,hh_at_80pct_ami,cost_burdened_30pct_ami,cost_burdened_50pct_ami,cost_burdened_80pct_ami,affordable_units_30pct_ami,affordable_units_50pct_ami
48439100101,104300.0,106300.0,799.0,1957.0,43971.0,1057.0,881.0,994.7879133,50.39479571,108.7803696,59.66505521,62.75617636,4.674572406,27.20307868,3065.0,5480.0,55.93,95.0,460.0,910.0,60.0,270.0,325.0,10.0,59.0
48439100102,170600.0,202700.0,867.0,1952.0,54330.0,1352.0,840.0,1150.823091,50.45174697,108.1272998,59.5067452,57.79627561,8.213035382,25.19590317,2915.0,4600.0,63.37,185.0,535.0,795.0,160.0,365.0,500.0,40.0,330.0
48439100201,81900.0,84800.0,727.0,1964.0,35519.0,949.0,936.0,943.3923729,49.26506953,105.4170315,58.06065736,83.34932203,12.33288136,39.38627119,3680.0,5160.0,71.32,315.0,690.0,1040.0,275.0,500.0,585.0,45.0,170.0
48439100202,87900.0,108000.0,724.0,1960.0,41598.0,997.0,780.0,908.3863636,49.96432886,106.4360264,58.71963208,73.81212121,7.173607038,34.64919355,3885.0,5170.0,75.15,260.0,560.0,945.0,220.0,375.0,430.0,20.0,190.0
48439100300,110100.0,86700.0,904.0,1997.0,33550.0,1031.0,724.0,933.5099237,50.2097068,107.0968317,58.95290316,77.59368957,10.24671756,45.22801527,3445.0,4690.0,73.45,505.0,850.0,1160.0,405.0,645.0,710.0,45.0,310.0
48439100400,,,,,32423.0,942.0,725.0,845.8515625,48.42706501,104.9606833,57.46119346,82.9859375,19.703125,45.71930804,5210.0,8365.0,62.28,,,,,,,,
48439100401,131800.0,144600.0,657.0,1957.0,,,,,,,,,,,,,,185.0,210.0,330.0,150.0,150.0,154.0,40.0,125.0
48439100402,79000.0,63800.0,641.0,1941.0,,,,,,,,,,,,,,360.0,545.0,790.0,215.0,315.0,345.0,125.0,320.0
48439100501,,,,,33165.0,1124.0,899.0,984.2363515,48.08004765,110.5529125,58.85346346,76.22083888,13.62423435,42.58142477,5815.0,8330.0,69.81,,,,,,,,
48439100502,,,,,38962.0,1101.0,796.0,985.8031865,49.53811088,106.5359658,58.40128045,75.62496095,9.748828491,38.03533271,4735.0,6965.0,67.98,,,,,,,,
48439100503,92600.0,83100.0,758.0,1955.0,,,,,,,,,,,,,,15.0,225.0,435.0,4.0,209.0,259.0,0.0,95.0
48439100504,95300.0,93100.0,638.0,1958.0,,,,,,,,,,,,,,230.0,490.0,855.0,225.0,330.0,350.0,0.0,215.0
48439100505,144800.0,184500.0,848.0,1993.0,,,,,,,,,,,,,,240.0,710.0,1260.0,185.0,540.0,740.0,15.0,305.0
48439100506,95800.0,154700.0,562.0,1973.0,,,,,,,,,,,,,,220.0,545.0,925.0,110.0,200.0,245.0,110.0,240.0
48439100601,239800.0,269000.0,1103.0,1999.0,64038.0,1741.0,1006.0,1502.985743,51.64056101,116.1348073,62.11975694,47.77820774,8.458655804,28.50570265,885.0,2110.0,41.94,135.0,220.0,450.0,85.0,115.0,200.0,20.0,60.0
48439100602,129300.0,122500.0,774.0,1970.0,52721.0,1189.0,954.0,1127.460949,53.78170341,118.7514438,64.2372487,59.98836141,5.668606432,25.06202144,965.0,2125.0,45.41,175.0,480.0,745.0,124.0,294.0,298.0,0.0,215.0
48439100700,85700.0,108600.0,603.0,1980.0,31169.0,922.0,783.0,854.2584337,48.3553368,105.1343762,57.36243557,83.39751004,14.26168675,49.45481928,2880.0,4225.0,68.17,375.0,605.0,985.0,340.0,450.0,495.0,115.0,285.0
48439100800,87100.0,87200.0,709.0,1940.0,38668.0,949.0,775.0,892.5336538,50.34666998,106.3163767,59.02814668,77.05300481,9.734615385,37.43719952,3925.0,5790.0,67.79,265.0,665.0,1045.0,140.0,285.0,295.0,10.0,225.0
48439100900,81400.0,91100.0,530.0,0.0,29535.0,781.0,863.0,816.3956835,48.46607682,98.63897045,55.60571761,82.52026379,10.78129496,52.37176259,1670.0,2100.0,79.52,235.0,355.0,450.0,175.0,215.0,250.0,15.0,180.0
48439101201,226300.0,282700.0,808.0,1967.0,54671.0,2523.0,947.0,2057.30384,53.18748159,114.0659572,62.66971207,59.24073456,11.42170284,30.83789649,785.0,1720.0,45.64,85.0,125.0,305.0,55.0,70.0,74.0,0.0,35.0
48439101202,98300.0,110700.0,729.0,1954.0,39432.0,981.0,881.0,934.3536585,49.75066363,105.4941579,58.31577458,81.08363821,8.8,41.03871951,3035.0,4190.0,72.43,175.0,555.0,990.0,145.0,265.0,345.0,4.0,134.0
48439101301,113900.0,112900.0,819.0,1977.0,45500.0,1063.0,938.0,1024.494253,50.50301803,107.0581307,59.03787458,65.42490421,12.38482759,36.27482759,1555.0,4795.0,32.43,395.0,595.0,880.0,340.0,440.0,515.0,65.0,285.0
48439101302,98000.0,91200.0,775.0,1959.0,39656.0,921.0,921.0,921.0,49.85415595,107.4371181,58.85727089,71.98429883,3.69382716,29.91728395,2360.0,3145.0,75.04,230.0,410.0,695.0,190.0,245.0,340.0,0.0,120.0
48439101401,131300.0,131200.0,755.0,1979.0,54349.0,1125.0,694.0,982.0541897,50.86325402,110.2839396,60.24942107,56.44184646,8.72895133,25.82212745,1935.0,4460.0,43.39,435.0,715.0,1185.0,345.0,545.0,575.0,0.0,255.0
48439101402,92200.0,97800.0,687.0,1959.0,31893.0,951.0,747.0,853.234657,48.0073507,105.1138067,57.1778305,77.56347774,24.29458484,47.16119134,2470.0,3145.0,78.54,285.0,575.0,765.0,165.0,290.0,300.0,0.0,155.0
48439101403,103800.0,107700.0,766.0,1969.0,29174.0,974.0,706.0,811.121424,48.57571789,108.2406163,58.44431002,79.07480398,22.3481246,51.90762873,2985.0,4295.0,69.5,490.0,880.0,1230.0,385.0,630.0,675.0,60.0,565.0
48439101500,117200.0,140500.0,660.0,1952.0,31582.0,1042.0,812.0,938.7690058,48.68301892,104.8840725,57.45903793,74.31291423,18.26549708,46.7997807,2665.0,4580.0,58.19,360.0,595.0,920.0,325.0,485.0,595.0,0.0,185.0
48439101700,96900.0,97200.0,,1953.0,11838.0,789.0,218.0,329.3140794,44.1532088,96.92717687,52.64008293,89.6133574,49.89891697,72.15234657,1710.0,1920.0,89.06,210.0,315.0,405.0,55.0,135.0,150.0,165.0,200.0
