OBJECTID,GEOID,STATE,STUSAB,NAME,EACODE,EANAME,COUNTY,CNTY_FIPS,T2_EST1,T8_EST69,T8_EST82,T8_EST95,T8_EST108,T8_EST68,T8_EST3,T8_EST16,T8_EST29,T8_EST42,T8_EST2,T3_EST47,T3_EST48,T3_EST49,T3_EST50,T3_EST46,T3_EST4,T3_EST5,T3_EST6,T3_EST7,T3_EST3,T3_EST53,T3_EST54,T3_EST55,T3_EST56,T3_EST52,T3_EST10,T3_EST11,T3_EST12,T3_EST13,T3_EST9,T3_EST59,T3_EST60,T3_EST61,T3_EST62,T3_EST58,T3_EST16,T3_EST17,T3_EST18,T3_EST19,T3_EST15,T3_EST65,T3_EST66,T3_EST67,T3_EST68,T3_EST64,T3_EST22,T3_EST23,T3_EST24,T3_EST25,T3_EST21,T3_EST71,T3_EST72,T3_EST73,T3_EST74,T3_EST70,T3_EST28,T3_EST29,T3_EST30,T3_EST31,T3_EST27,T3_EST77,T3_EST78,T3_EST79,T3_EST80,T3_EST76,T3_EST34,T3_EST35,T3_EST36,T3_EST37,T3_EST33,T2_EST128,T2_EST136,T2_EST144,T2_EST152,T2_EST127,T2_EST4,T2_EST12,T2_EST20,T2_EST28,T2_EST3,T2_EST169,T2_EST177,T2_EST185,T2_EST193,T2_EST168,T2_EST45,T2_EST53,T2_EST61,T2_EST69,T2_EST44,T2_EST210,T2_EST218,T2_EST226,T2_EST234,T2_EST209,T2_EST86,T2_EST94,T2_EST102,T2_EST110,T2_EST85,T7_LE30_SF_CB_R,T7_GT30_LE50_SF_CB_R,T7_GT50_LE80_SF_CB_R,T7_SF_CB_R,T7_LE30_SF_CB_O,T7_GT30_LE50_SF_CB_O,T7_GT50_LE80_SF_CB_O,T7_SF_CB_O,T7_LE30_LF_CB_R,T7_GT30_LE50_LF_CB_R,T7_GT50_LE80_LF_CB_R,T7_LF_CB_R,T7_LE30_LF_CB_O,T7_GT30_LE50_LF_CB_O,T7_GT50_LE80_LF_CB_O,T7_LF_CB_O,T7_LE30_ELD_CB_R,T7_GT30_LE50_ELD_CB_R,T7_GT50_LE80_ELD_CB_R,T7_ELD_CB_R,T7_LE30_ELD_CB_O,T7_GT30_LE50_ELD_CB_O,T7_GT50_LE80_ELD_CB_O,T7_ELD_CB_O,T7_LE30_OTHER_CB_R,T7_GT30_LE50_OTHER_CB_R,T7_GT50_LE80_OTHER_CB_R,T7_OTHER_CB_R,T7_LE30_OTHER_CB_O,T7_GT30_LE50_OTHER_CB_O,T7_GT50_LE80_OTHER_CB_O,T7_OTHER_CB_O,T7_EST117,T7_EST143,T7_EST169,T7_SF_CB50_R,T7_EST12,T7_EST38,T7_EST64,T7_SF_CB50_O,T7_EST122,T7_EST148,T7_EST174,T7_LF_CB50_R,T7_EST17,T7_EST43,T7_EST69,T7_LF_CB50_O,T7_LE30_ELD_CB50_R,T7_GT30_LE50_ELD_CB50_R,T7_GT50_LE80_ELD_CB50_R,T7_ELD_CB50_R,T7_LE30_ELD_CB50_O,T7_GT30_LE50_ELD_CB50_O,T7_GT50_LE80_ELD_CB50_O,T7_ELD_CB50_O,T7_EST132,T7_EST158,T7_EST184,T7_OTHER_CB50_R,T7_EST27,T7_EST53,T7_EST79,T7_OTHER_CB50_O,T10_OC_LE30_HHT1_R,T10_OC_GT30_LE50_HHT1_R,T10_OC_GT50_LE80_HHT1_R,T10_OC_GT80_LE100_HHT1_R,T10_OC_HHT1_R,T10_OC_LE30_HHT1_O,T10_OC_GT30_LE50_HHT1_O,T10_OC_GT50_LE80_HHT1_O,T10_OC_GT80_LE100_HHT1_O,T10_OC_HHT1_O,T10_OC_LE30_HHT2_R,T10_OC_GT30_LE50_HHT2_R,T10_OC_GT50_LE80_HHT2_R,T10_OC_GT80_LE100_HHT2_R,T10_OC_HHT2_R,T10_OC_LE30_HHT2_O,T10_OC_GT30_LE50_HHT2_O,T10_OC_GT50_LE80_HHT2_O,T10_OC_GT80_LE100_HHT2_O,T10_OC_HHT2_O,T10_OC_LE30_HHT3_R,T10_OC_GT30_LE50_HHT3_R,T10_OC_GT50_LE80_HHT3_R,T10_OC_GT80_LE100_HHT3_R,T10_OC_HHT3_R,T10_OC_LE30_HHT3_O,T10_OC_GT30_LE50_HHT3_O,T10_OC_GT50_LE80_HHT3_O,T10_OC_GT80_LE100_HHT3_O,T10_OC_HHT3_O,T8_LE30,T1_LE30_HP,T2_LE30_HP2,T3_LE30_SUBST,T10_LE30_OC,T8_LE30_CB,T8_LE30_CB50,T8_LE50,T1_LE50_HP,T2_LE50_HP2,T3_LE50_SUBST,T10_LE50_OC,T8_LE50_CB,T8_LE50_CB50,T8_LE80,T1_LE80_HP,T2_LE80_HP2,T3_LE80_SUBST,T10_LE80_OC,T8_LE80_CB,T8_LE80_CB50,T1_LE30_HP_PCT,T2_LE30_HP2_PCT,T3_LE30_SUBST_PCT,T10_LE30_OC_PCT,T8_LE30_CB_PCT,T8_LE30_CB50_PCT,T1_LE50_HP_PCT,T2_LE50_HP2_PCT,T3_LE50_SUBST_PCT,T10_LE50_OC_PCT,T8_LE50_CB_PCT,T8_LE50_CB50_PCT,T1_LE80_HP_PCT,T2_LE80_HP2_PCT,T3_LE80_SUBST_PCT,T10_LE80_OC_PCT,T8_LE80_CB_PCT,T8_LE80_CB50_PCT,T7_SF_LE30,T7_LF_LE30,T7_SF_GT30_LE50,T7_LF_GT30_LE50,T7_SF_GT50_LE80,T7_LF_GT50_LE80,T7_SF_GT80_LE100,T7_LF_GT80_LE100,T7_SF_GT100,T7_LF_GT100,T13_LE30_CHL,T13_GT30_LE50_CHL,T13_GT50_LE80_CHL,T13_GT80_LE100_CHL,T13_GT100_CHL,T5_LE30_ELD,T5_GT30_LE50_ELD,T5_GT50_LE80_ELD,T5_GT80_LE100_ELD,T5_GT100_ELD,T5_LE30_XELD,T5_GT30_LE50_XELD,T5_GT50_LE80_XELD,T5_GT80_LE100_XELD,T5_GT100_XELD,T1_HP,T2_HP2,T3_SUBST,T8_CB50,T8_CB,T8_EST23,T8_EST89,T8_GT30_LE50_CB50,T8_EST36,T8_EST102,T8_GT50_LE80_CB50,T8_EST49,T8_EST115,T8_GT80_LE100_CB50,T8_GT30_LE50_CB_O,T8_GT30_LE50_CB_R,T8_GT30_LE50_CB,T8_GT50_LE80_CB_O,T8_GT50_LE80_CB_R,T8_GT50_LE80_CB,T8_GT80_LE100_CB_O,T8_GT80_LE100_CB_R,T8_GT80_LE100_CB,T10_GT30_LE50_OC_O,T10_GT30_LE50_OC_R,T10_GT30_LE50_OC,T10_GT50_LE80_OC_O,T10_GT50_LE80_OC_R,T10_GT50_LE80_OC,T10_GT80_LE100_OC_O,T10_GT80_LE100_OC_R,T10_GT80_LE100_OC,T8_GT30_LE50,T8_GT50_LE80,T8_GT80_LE100,T8_GT100,T8_LE100,T13_LBP1,T13_LBP2,T13_LBP3,T10_HOMELESS_RISK1,T8_LE30_PCT,T8_LE50_PCT,T8_LE80_PCT,T8_LE100_PCT,T3_SUBST_PCT,T1_HP_PCT,T2_HP2_PCT,T8_CB50_PCT,T8_CB_PCT,AFF_AVAIL_30_R,AFF_AVAIL_50_R,AFF_AVAIL_80_R,AFF_AVAIL_50_O,AFF_AVAIL_80_O,AFF_AVAIL_100_O,RENT_DENOM,OWN_DENOM,AFF_AVAIL_30_R_PCT,AFF_AVAIL_50_R_PCT,AFF_AVAIL_80_R_PCT,AFF_AVAIL_50_O_PCT,AFF_AVAIL_80_O_PCT,AFF_AVAIL_100_O_PCT,T7_GT80_LE100_SF_CB_R,T7_GT100_SF_CB_R,T7_GT80_LE100_SF_CB_O,T7_GT100_SF_CB_O,T7_GT80_LE100_LF_CB_R,T7_GT100_LF_CB_R,T7_GT80_LE100_LF_CB_O,T7_GT100_LF_CB_O,T7_GT80_LE100_ELD_CB_R,T7_GT100_ELD_CB_R,T7_GT80_LE100_ELD_CB_O,T7_GT100_ELD_CB_O,T7_GT80_LE100_OTHER_CB_R,T7_GT100_OTHER_CB_R,T7_GT80_LE100_OTHER_CB_O,T7_GT100_OTHER_CB_O,T7_GT80_LE100_ELD_CB50_R,T7_GT100_ELD_CB50_R,T7_GT80_LE100_ELD_CB50_O,T7_GT100_ELD_CB50_O,T7_EST221,T7_EST247,T7_EST90,T7_EST116,T7_EST226,T7_EST252,T7_EST95,T7_EST121,T7_EST236,T7_EST262,T7_EST105,T7_EST131,T8_LE30_CB_O,T8_LE30_CB_R,T13_LE30_CHL_R,T13_GT30_LE50_CHL_R,T13_GT50_LE80_CHL_R,T13_GT80_LE100_CHL_R,T13_GT100_CHL_R,T13_CHL_R,T13_LE30_CHL_O,T13_GT30_LE50_CHL_O,T13_GT50_LE80_CHL_O,T13_GT80_LE100_CHL_O,T13_GT100_CHL_O,T13_CHL_O,T5_LE30_ELD_R,T5_GT30_LE50_ELD_R,T5_GT50_LE80_ELD_R,T5_GT80_LE100_ELD_R,T5_GT100_ELD_R,T5_LE30_XELD_R,T5_GT30_LE50_XELD_R,T5_GT50_LE80_XELD_R,T5_GT80_LE100_XELD_R,T5_GT100_XELD_R,T5_LE30_ELD_O,T5_GT30_LE50_ELD_O,T5_GT50_LE80_ELD_O,T5_GT80_LE100_ELD_O,T5_GT100_ELD_O,T5_LE30_XELD_O,T5_GT30_LE50_XELD_O,T5_GT50_LE80_XELD_O,T5_GT80_LE100_XELD_O,T5_GT100_XELD_O,SF_ELI_CB50_R,SF_LI_CB50_R,SF_MI_CB50_R,LF_ELI_CB50_R,LF_LI_CB50_R,LF_MI_CB50_R,SF_ELI_CB50_O,SF_LI_CB50_O,SF_MI_CB50_O,LF_ELI_CB50_O,LF_LI_CB50_O,LF_MI_CB50_O,Shape__Area,Shape__Length
6456,48439110205,48,TX,Census Tract 1102.05,,,439,48439,1915,105,110,365,235,1210,4,50,90,100,705,0,0,0,0,0,4,0,0,0,4,0,0,0,0,55,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0,60,40,10,0,110,0,40,25,0,65,0,40,330,10,395,0,10,15,0,45,50,0,0,0,50,0,0,0,0,0,60,70,10,0,195,4,40,25,0,70,50,40,355,235,1015,0,10,70,100,640,,,,,,,,,,,15,65,185,265,0,40,0,60,0,0,0,0,0,0,40,40,15,0,20,45,0,10,0,10,30,44,130,219,0,0,0,0,,,30,45,0,40,,40,,,0,0,0,0,25,25,15,0,10,25,0,0,0,0,,30,40,70,0,,,0,0,30,0,0,30,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,65,65,4,0,60,60,275,230,175,4,30,220,170,730,610,210,4,30,600,205,59.09,59.09,3.64,0.0,54.55,54.55,83.64,63.64,1.45,10.91,80.0,61.82,83.56,28.77,0.55,4.11,82.19,28.08,15,10,105,0,230,55,155,0,500,40,25,30,80,15,100,4,0,20,65,85,15,10,25,0,60,705,265,4,205,645,40,70,110,25,10,35,0,0,0,50,110,160,40,340,380,0,10,10,0,30,30,0,0,0,0,0,0,165,455,335,850,1065,250,115,135,0,5.74,14.36,38.12,55.61,0.21,36.81,13.84,10.7,33.68,0,0,430,0,115,220,1210,710,0.0,0.0,35.54,0.0,16.2,30.99,0,0,0,20,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,,,,,,,,,,,,,0,60,25,30,45,0,35,135,0,0,35,15,65,115,0,0,0,65,0,15,0,25,0,0,4,0,20,0,85,0,10,0,0,60,15,30,0,0,0,0,0,40,0,0,0,25,3866928.296875,8792.1624689129
6457,48439114010,48,TX,Census Tract 1140.10,,,439,48439,2725,0,60,125,0,260,0,135,585,105,2465,0,25,0,0,25,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,100,25,0,125,0,35,0,0,80,0,35,515,70,795,0,0,0,0,0,0,0,0,0,0,0,25,40,0,65,0,100,25,0,140,0,35,85,0,195,0,35,560,105,2320,,,,,,,,,,,0,60,40,145,0,0,0,115,0,0,0,0,0,35,40,110,0,0,0,0,0,0,25,25,0,0,0,0,0,100,475,675,,,25,65,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,25,25,,0,0,0,0,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,195,130,25,0,195,130,905,770,190,25,0,770,190,,,,,,,100.0,66.67,12.82,0.0,100.0,66.67,85.08,20.99,2.76,0.0,85.08,20.99,0,0,60,35,140,50,45,25,1160,300,0,70,55,25,325,0,0,25,10,95,0,0,20,0,25,1085,205,45,190,1065,100,25,130,25,40,60,0,0,0,135,60,195,540,40,575,70,0,70,0,0,0,0,0,0,0,0,0,195,710,105,1715,1010,475,440,35,0,0.0,7.16,33.21,37.06,1.65,39.82,7.52,6.97,39.08,0,0,120,0,225,350,260,2465,0.0,0.0,46.15,0.0,9.13,14.2,0,45,35,80,0,0,0,35,0,0,0,0,0,0,35,65,0,0,0,0,,,,,,,,,,,,,0,0,0,35,0,0,0,35,0,35,55,25,325,500,0,0,0,0,0,0,0,0,0,0,0,0,25,10,95,0,0,20,0,25,0,25,40,0,0,0,0,0,0,0,0,0,8321697.53125,14289.1407327092
6458,48439114109,48,TX,Census Tract 1141.09,,,439,48439,3795,0,0,0,45,480,130,85,560,195,3315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,85,0,25,125,0,0,0,0,0,115,0,310,20,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,85,80,25,205,0,0,0,45,480,115,0,480,170,3110,,,,,,,,,,,0,0,0,0,0,0,270,355,0,0,0,0,0,40,30,70,0,0,0,0,130,45,15,190,0,0,0,0,0,0,0,50,,,0,0,0,0,,25,,,0,0,0,40,0,40,0,0,0,0,15,45,0,60,,0,0,0,0,,,0,0,0,0,0,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,15,0,0,130,15,215,215,100,0,0,215,100,775,605,180,0,80,525,100,100.0,11.54,0.0,0.0,100.0,11.54,100.0,46.51,0.0,0.0,100.0,46.51,78.06,23.23,0.0,10.32,67.74,12.9,0,0,0,40,350,30,120,80,2035,255,0,40,380,100,735,0,45,40,35,215,130,0,145,0,60,735,205,0,125,660,85,0,85,0,0,0,25,0,25,85,0,85,310,0,310,45,0,45,0,0,0,80,0,80,0,0,0,85,560,240,2780,1015,1175,1000,175,0,3.43,5.67,20.42,26.75,0.0,19.37,5.4,3.29,17.39,0,0,0,115,590,880,480,3315,0.0,0.0,0.0,3.47,17.8,26.55,0,0,45,40,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,,,,,,,,,,,,,130,0,0,0,0,0,175,175,0,40,380,100,560,1080,0,0,0,0,0,0,0,0,0,0,0,45,40,35,215,130,0,145,0,60,0,0,0,0,0,0,0,0,0,0,40,0,15421172.515625,16875.4850177098
6459,48439122702,48,TX,Census Tract 1227.02,,,439,48439,1285,155,205,165,55,755,20,0,130,100,530,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,105,15,15,295,0,0,0,0,20,0,85,115,40,235,20,0,30,0,45,0,0,0,0,0,0,0,0,0,0,155,105,15,15,340,0,0,0,0,20,0,100,145,40,415,20,0,130,100,510,,,,,,,,,,,50,135,35,220,0,0,0,0,0,0,0,0,0,0,0,0,20,0,50,85,20,0,0,20,85,50,40,215,0,0,30,50,,,105,155,0,0,,0,,,0,0,0,0,0,0,20,0,15,50,0,0,0,0,,85,0,85,0,,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,175,155,0,0,175,155,380,360,260,0,0,365,260,670,520,275,0,0,520,275,100.0,88.57,0.0,0.0,100.0,88.57,94.74,68.42,0.0,0.0,96.05,68.42,77.61,41.04,0.0,0.0,77.61,41.04,50,0,135,0,105,0,20,0,250,10,35,135,35,0,0,0,0,70,40,110,40,0,85,60,25,645,360,50,310,595,0,105,105,0,15,15,0,15,15,0,190,190,30,130,155,0,55,55,0,0,0,0,0,0,0,0,0,205,290,155,460,825,90,0,90,0,13.62,29.57,52.14,64.2,3.89,50.19,28.02,24.12,46.3,0,60,490,20,145,245,995,530,0.0,6.03,49.25,3.77,27.36,46.23,0,0,0,0,0,0,0,0,15,0,0,0,40,0,0,20,15,0,0,0,,,,,,,,,,,,,20,155,35,135,0,0,0,170,0,0,35,0,0,35,0,0,30,0,35,20,0,55,15,15,0,0,35,40,70,20,0,30,45,10,50,105,0,0,0,0,0,0,0,0,0,0,2090075.81640625,7266.42980067952
6521,48439111317,48,TX,Census Tract 1113.17,,,439,48439,1485,55,30,35,35,170,40,100,65,210,1315,0,0,0,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,15,65,20,30,130,0,30,35,0,70,15,0,0,15,90,0,0,0,0,0,0,0,0,0,0,55,0,0,0,55,15,65,20,30,130,0,30,35,35,120,30,35,45,180,1185,,,,,,,,,,,0,0,0,0,0,15,20,85,40,0,0,40,0,0,0,0,0,30,35,65,15,0,0,60,15,0,0,15,15,50,0,75,,,0,0,0,15,,35,,,0,40,0,0,0,0,0,0,0,0,0,0,0,30,,15,0,15,15,,,65,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,80,65,0,40,80,65,230,180,130,0,40,175,130,330,235,150,0,40,230,150,84.21,68.42,0.0,42.11,84.21,68.42,78.26,56.52,0.0,17.39,76.09,56.52,71.21,45.45,0.0,12.12,69.7,45.45,0,40,35,15,50,0,65,0,525,150,40,15,30,15,120,0,30,35,190,210,15,0,0,30,85,340,185,0,180,335,65,0,65,20,0,20,30,0,30,65,30,95,20,35,55,45,0,45,0,0,0,0,0,0,0,0,0,135,100,250,905,580,150,150,0,0,6.4,15.49,22.22,39.06,0.0,22.9,12.46,12.12,22.56,0,85,120,49,159,219,170,1315,0.0,50.0,70.59,3.73,12.09,16.65,0,0,0,50,0,0,0,0,0,0,45,0,0,0,0,10,0,0,30,0,,,,,,,,,,,,,30,55,40,0,0,0,0,40,0,15,30,15,120,180,0,30,35,35,0,0,0,0,0,0,0,0,0,155,210,15,0,0,30,85,0,0,0,40,0,0,0,15,20,0,0,0,35124005.5585938,39181.3551620563
6522,48439122701,48,TX,Census Tract 1227.01,,,439,48439,820,190,140,85,40,595,0,10,45,10,225,0,0,0,0,0,0,0,0,0,10,10,0,0,0,10,0,0,0,0,0,15,0,30,0,40,0,0,0,0,0,135,25,0,0,160,0,0,0,0,0,10,95,10,0,115,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,155,25,30,0,210,0,0,0,0,10,35,115,55,40,385,0,10,45,10,210,,,,,,,,,,,55,40,0,95,0,0,0,0,15,0,0,15,0,0,0,0,40,15,0,55,0,0,0,0,60,65,10,135,0,0,0,0,,,25,80,0,0,,0,,,0,15,0,0,0,0,30,0,0,30,0,0,0,0,,60,0,60,0,,,0,25,0,30,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,170,155,0,25,165,155,340,290,180,0,25,285,180,465,330,210,0,55,295,180,89.47,81.58,0.0,13.16,86.84,81.58,85.29,52.94,0.0,7.35,83.82,52.94,70.97,45.16,0.0,11.83,63.44,38.71,55,15,45,0,15,30,20,0,235,0,60,0,0,0,40,25,15,45,10,65,20,0,0,0,25,335,220,10,180,295,0,25,25,0,0,0,0,0,0,0,120,120,0,10,10,0,0,0,0,0,0,0,30,30,0,0,0,150,125,50,300,515,10,10,0,0,23.17,41.46,56.71,62.8,1.22,40.85,26.83,21.95,35.98,0,190,410,10,55,65,595,225,0.0,31.93,68.91,4.44,24.44,28.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,165,60,0,0,0,30,90,0,0,0,0,10,30,25,15,0,0,35,20,0,0,0,0,0,0,45,10,30,0,0,0,0,25,55,25,0,15,0,0,0,0,0,0,0,0,1582082.46484375,5146.71543561066
6532,48439123302,48,TX,Census Tract 1233.02,,,439,48439,1565,265,105,95,30,955,0,25,20,10,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,20,35,30,35,0,100,0,0,0,0,0,0,70,60,0,150,0,10,20,10,140,60,0,0,0,60,0,0,0,0,0,35,30,35,0,100,0,0,0,0,50,230,70,60,30,855,0,25,20,10,565,,,,,,,,,,,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,20,0,15,35,0,10,20,30,15,100,75,205,0,0,0,90,,,0,0,0,0,,0,,,0,0,0,0,0,0,20,0,15,35,0,0,0,0,,15,30,60,0,,,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,35,35,0,0,35,35,395,150,65,0,0,145,65,510,265,100,0,0,260,100,13.21,13.21,0.0,0.0,13.21,13.21,37.97,16.46,0.0,0.0,36.71,16.46,51.96,19.61,0.0,0.0,50.98,19.61,45,0,0,0,0,0,0,0,280,0,45,0,0,0,40,60,10,35,15,185,35,15,0,0,40,430,150,0,100,380,0,30,30,0,35,35,0,0,0,10,100,110,20,95,115,10,0,10,0,0,0,0,0,0,0,0,0,130,115,40,1015,550,40,20,20,0,16.93,25.24,32.59,35.14,0.0,27.48,9.58,6.39,24.28,170,190,355,15,15,35,955,610,17.8,19.9,37.17,2.46,2.46,5.74,0,0,0,15,0,0,0,0,0,0,0,0,0,15,10,80,0,0,0,0,,,,,,,,,,,,,0,35,45,0,0,0,20,65,0,0,0,0,20,20,60,0,15,15,60,35,0,0,0,15,0,10,20,0,125,0,15,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2797980.6171875,7536.6248543099
6533,48439111020,48,TX,Census Tract 1110.20,,,439,48439,2130,555,210,450,30,1570,20,40,135,30,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,0,40,0,0,4,0,4,440,95,0,0,535,20,0,0,0,20,50,90,370,0,510,0,40,0,0,40,35,0,0,0,35,0,0,0,0,0,440,120,15,0,575,20,0,4,0,25,120,90,435,30,995,0,40,130,30,535,,,,,,,,,,,190,60,0,250,0,20,0,20,0,25,120,145,0,20,0,20,295,115,45,455,0,0,0,0,0,10,205,215,20,0,0,20,,,0,190,0,0,,0,,,0,0,0,0,0,0,245,85,0,330,0,0,0,0,,0,10,10,20,,,20,0,25,0,0,25,0,0,4,0,4,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,505,455,0,0,505,455,825,755,575,0,25,755,550,1410,1145,595,0,44,1125,550,87.83,79.13,0.0,0.0,87.83,79.13,91.52,69.7,0.0,3.03,91.52,66.67,81.21,42.2,0.0,3.12,79.79,39.01,190,35,80,45,30,225,25,0,405,30,55,65,85,0,130,215,15,75,40,85,115,100,35,0,65,1150,600,0,550,1125,0,95,95,0,0,0,0,0,0,40,210,250,0,370,370,0,0,0,0,25,25,4,15,19,0,0,0,250,585,55,665,1465,335,155,180,0,27.0,38.73,66.2,68.78,0.0,53.99,28.17,25.82,52.82,140,465,1215,30,194,209,1570,560,8.92,29.62,77.39,5.36,34.64,37.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,20,490,55,25,15,0,85,180,0,40,70,0,45,155,215,15,60,15,45,115,100,15,0,0,0,0,15,30,40,0,0,20,0,65,190,0,0,0,0,0,0,0,0,0,0,0,2038285.05078125,5894.31318431101
6564,48439111572,48,TX,Census Tract 1115.72,,,439,48439,880,10,0,0,120,440,0,15,70,35,435,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,80,80,0,0,45,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,25,70,0,0,25,0,25,10,0,0,95,370,0,15,45,35,415,,,,,,,,,,,0,0,0,0,0,0,15,15,0,0,0,0,0,0,45,45,0,0,0,0,0,0,10,30,0,0,0,80,0,0,0,0,,,0,0,0,0,,15,,,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,0,0,0,0,,,0,0,0,0,25,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,25,0,0,0,0,0,0,95,70,25,0,0,70,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.68,26.32,0.0,0.0,73.68,26.32,0,0,15,0,15,45,50,0,295,65,0,0,60,0,50,0,0,10,25,250,10,0,0,0,10,235,95,0,25,170,0,0,0,25,0,25,0,0,0,0,0,0,70,0,70,0,80,80,0,0,0,0,0,0,0,25,25,15,70,150,630,245,110,110,0,0,1.14,2.84,10.8,27.84,0.0,26.7,10.8,2.84,19.32,10,10,10,0,70,120,440,435,2.27,2.27,2.27,0.0,16.09,27.59,0,0,0,0,0,0,0,0,0,0,0,20,80,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,60,0,50,110,0,0,0,0,65,10,0,0,0,0,0,0,10,25,185,0,0,0,0,10,0,0,0,0,0,0,0,0,15,0,0,0,1777112.08203125,5787.20167981678
6565,48439111571,48,TX,Census Tract 1115.71,,,439,48439,1265,20,170,280,45,740,100,45,60,15,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,0,0,0,0,0,20,125,0,0,145,100,0,0,0,100,0,40,50,0,160,0,15,40,15,85,0,0,0,0,0,0,0,0,0,0,20,125,55,0,200,100,0,0,0,100,0,40,225,45,540,0,45,60,15,425,,,,,,,,,,,20,100,0,140,15,0,25,40,0,0,0,0,0,15,0,15,0,0,0,0,70,0,15,115,0,65,50,165,15,0,0,15,,,60,80,15,0,,15,,,0,0,0,0,0,0,0,0,0,0,70,0,0,70,,0,65,65,15,,,15,0,0,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,0,0,120,120,330,305,245,0,0,305,245,670,450,300,0,55,395,245,100.0,100.0,0.0,0.0,100.0,100.0,92.42,74.24,0.0,0.0,92.42,74.24,67.16,44.78,0.0,8.21,58.96,36.57,30,0,105,15,150,0,0,0,170,90,70,10,70,0,110,0,75,40,15,125,70,0,0,0,15,545,300,0,245,495,0,125,125,0,0,0,0,0,0,15,165,185,40,50,90,15,0,15,0,0,0,0,55,55,0,0,0,210,340,60,535,730,65,35,30,0,9.49,26.09,52.96,57.71,0.0,43.08,23.72,19.37,39.13,0,0,420,100,205,220,740,530,0.0,0.0,56.76,18.87,38.68,41.51,0,20,0,0,0,0,0,0,0,0,15,15,0,50,0,0,0,0,0,0,,,,,,,,,,,,,100,20,0,10,55,0,20,85,70,0,15,0,90,105,0,50,0,0,0,0,0,0,0,0,0,25,40,15,125,70,0,0,0,15,20,60,0,0,0,0,15,0,0,0,0,0,3622440.63671875,7555.85437352335
