OBJECTID,GEOID,STATE,COUNTY,TRACT,NAME,CNTY_FIPS,EACODE,EANAME,B08013EST1,B08013_AVG_TTW,B08303EST1,B08303_30MINUS_TTW,B08303_30MINUS_TTW_PCT,B08303_30TO59_TTW,B08303_30TO59_TTW_PCT,B08303_60PLUS_TTW,B08303_60PLUS_TTW_PCT,B17019EST2,B17019_OWN,B17019_OWN_PCT,B17019_RENT,B17019_RENT_PCT,B17021EST1,B17021EST2,B17021EST2_PCT,B17021_FAM,B17021_FAM_PCT,B17021EST14,B17021EST14_PCT,B19013EST1,B19025EST1,B19113EST1,B19202EST1,B19001_LT15,B19001_LT15_PCT,B19001_15TO25,B19001_15TO25_PCT,B19001_25TO35,B19001_25TO35_PCT,B19001_35TO45,B19001_35TO45_PCT,B19001_45TO60,B19001_45TO60_PCT,B19001EST12,B19001EST12_PCT,B19001EST13,B19001EST13_PCT,B19001EST14,B19001EST14_PCT,B19001EST15,B19001EST15_PCT,B19001_GT150,B19001_GT150_PCT,B23001_CLF,B23001_UE,B23001_UE_PCT,B23001_16TO24,B23001_UE_16TO24,B23001_UE_16TO24_PCT,B23001_25TO64,B23001_UE_25TO64,B23001_UE_25TO64_PCT,B23001_ABOVE64,B23001_UE_ABOVE64,B23001_UE_ABOVE64_PCT,B25014_CROWD,B25014_CROWD_PCT,B25014_NONCROWD_O,B25014_NONCROWD_O_PCT,B25014_MODCROWD_O,B25014_MODCROWD_O_PCT,B25014_SEVCROWD_O,B25014_SEVCROWD_O_PCT,B25014_NONCROWD_R,B25014_NONCROWD_R_PCT,B25014_MODCROWD_R,B25014_MODCROWD_R_PCT,B25014_SEVCROWD_R,B25014_SEVCROWD_R_PCT,B25106_CB,B25106_CB_PCT,B25106_CB_LT35,B25106_CB_LT35_PCT,B25106_CB_GT35,B25106_CB_GT35_PCT,B25106_CB_O_LT35,B25106_CB_O_LT35_PCT,B25106_CB_O_GT35,B25106_CB_O_GT35_PCT,B25106_CB_R_LT35,B25106_CB_R_LT35_PCT,B25106_CB_R_GT35,B25106_CB_R_GT35_PCT,C24010EST1,C24010_MPRO,C24010_MPRO_PCT,C24010_SERVICE,C24010_SERVICE_PCT,C24010_SALES,C24010_SALES_PCT,C24010_FARM,C24010_FARM_PCT,C24010_CEMR,C24010_CEMR_PCT,C24010_PTM,C24010_PTM_PCT,B20004EST1,B20004EST2,B20004EST3,B20004EST4,B20004EST5,B20004EST6,B23006EST1,CIVIL,UNEMP,NILF,B23006EST6,B23006EST6_PCT,B23006EST7,B23006EST7_PCT,B23006EST8,B23006EST8_PCT,B23006EST13,B23006EST13_PCT,B23006EST14,B23006EST14_PCT,B23006EST15,B23006EST15_PCT,B23006EST20,B23006EST20_PCT,B23006EST21,B23006EST21_PCT,B23006EST22,B23006EST22_PCT,B23006EST27,B23006EST27_PCT,B23006EST28,B23006EST28_PCT,B23006EST29,B23006EST29_PCT,B24021EST2,B24021EST17,B24021EST25,B24021EST28,B24021EST29,B24021EST32,Shape__Area,Shape__Length
9081,48439110205,48,439,110205,Census Tract 1102.05,48439,,,73415.0,27.52,2668,1683,63.08,683,25.6,302,11.32,80,0,0.0,80,100.0,5101,363,7.12,279,76.86,84,23.14,69662.0,152858700.0,71322.0,51358.0,107,5.58,63,3.29,104,5.43,187,9.76,364,19.0,262,13.67,275,14.35,358,18.68,72,3.76,124,6.47,2906,58,2.0,246,47,13.2,2965,11,0.44,320,0,0.0,84,4.38,707,100.0,0,0.0,0,0.0,1125,93.05,31,2.56,53,4.38,664,34.66,221,97.79,443,26.98,51,91.07,59,9.06,170,100.0,384,38.75,2848,696,24.44,179,6.29,849,29.81,237,8.32,257,9.02,307,10.78,41858.0,40712.0,43372.0,40192.0,50359.0,59205.0,2965,2487,11,467,279,11.22,0,0.0,55,11.78,965,38.8,0,0.0,199,42.61,696,27.99,11,100.0,173,37.04,547,21.99,0,0.0,40,8.57,54250.0,,,41734.0,50223.0,50272.0,3866928.296875,8792.1624689129
9082,48439111315,48,439,111315,Census Tract 1113.15,48439,,,60205.0,34.68,1736,637,36.69,798,45.97,301,17.34,53,53,100.0,0,0.0,4378,641,14.64,372,58.03,269,41.97,70497.0,95891000.0,72243.0,53085.0,14,1.23,124,10.89,67,5.88,60,5.27,208,18.26,155,13.61,156,13.7,121,10.62,71,6.23,163,14.31,2051,241,11.75,435,42,13.04,2090,199,11.51,84,0,0.0,0,0.0,966,100.0,0,0.0,0,0.0,173,100.0,0,0.0,0,0.0,425,37.31,154,75.12,271,29.01,99,66.0,203,24.88,55,100.0,68,57.63,1810,458,25.3,230,12.71,422,23.31,97,5.36,96,5.3,113,6.24,49219.0,,29479.0,39014.0,54492.0,67411.0,2090,1530,199,317,50,3.27,31,15.58,0,0.0,416,27.19,21,10.55,150,47.32,443,28.95,69,34.67,82,25.87,621,40.59,78,39.2,85,26.81,61750.0,,,45250.0,,,3394588.83984375,10028.1013329716
9083,48439113941,48,439,113941,Census Tract 1139.41,48439,,,93140.0,31.04,3001,1362,45.38,1349,44.95,290,9.66,80,22,27.5,58,72.5,6021,344,5.71,259,75.29,85,24.71,65682.0,177289400.0,82047.0,57955.0,58,2.56,159,7.02,27,1.19,250,11.04,506,22.35,460,20.32,304,13.43,227,10.03,35,1.55,238,10.51,3579,356,9.95,259,121,17.54,3319,235,8.52,263,0,0.0,52,2.3,1247,100.0,0,0.0,0,0.0,965,94.89,0,0.0,52,5.11,710,31.36,217,88.93,493,24.41,56,67.47,254,21.82,161,100.0,239,27.92,3223,667,20.7,129,4.0,973,30.19,137,4.25,463,14.37,508,15.76,45817.0,,34814.0,40406.0,60096.0,,3319,2524,235,560,106,4.2,0,0.0,0,0.0,379,15.02,235,100.0,135,24.11,671,26.58,0,0.0,241,43.04,1368,54.2,0,0.0,184,32.86,68843.0,,,44388.0,42199.0,53462.0,17662891.0820313,21694.6765974403
9084,48439114010,48,439,114010,Census Tract 1140.10,48439,,,128235.0,36.43,3520,1293,36.73,1897,53.89,330,9.38,0,0,0.0,0,0.0,8074,74,0.92,74,100.0,0,0.0,103939.0,313565100.0,125625.0,51652.0,0,0.0,0,0.0,136,4.99,122,4.48,643,23.6,131,4.81,244,8.95,452,16.59,337,12.37,660,24.22,4595,240,5.22,393,37,11.6,5155,203,4.8,235,0,0.0,0,0.0,2464,100.0,0,0.0,0,0.0,261,100.0,0,0.0,0,0.0,1068,39.19,136,100.0,932,36.0,102,100.0,821,34.76,34,100.0,111,48.9,4355,1432,32.88,261,5.99,1682,38.62,1188,27.28,376,8.63,235,5.4,46813.0,,31290.0,75714.0,75078.0,76699.0,5155,4028,203,908,44,1.09,0,0.0,11,1.21,1746,43.35,94,46.31,309,34.03,1306,32.42,77,37.93,389,42.84,932,23.14,32,15.76,199,21.92,84898.0,,,30477.0,61142.0,74000.0,8321697.53125,14289.1407327092
9085,48439114109,48,439,114109,Census Tract 1141.09,48439,,,176345.0,31.41,5615,2079,37.03,2836,50.51,700,12.47,56,56,100.0,0,0.0,11411,411,3.6,411,100.0,0,0.0,112055.0,415440700.0,107338.0,74167.0,16,0.42,115,3.03,43,1.13,71,1.87,449,11.83,314,8.27,595,15.68,830,21.87,590,15.55,772,20.34,6264,194,3.1,123,121,23.82,6419,73,1.3,890,0,0.0,81,2.13,3234,97.56,0,0.0,81,2.44,480,100.0,0,0.0,0,0.0,656,17.29,174,100.0,482,13.31,174,100.0,482,15.35,0,0.0,0,0.0,6070,2196,36.18,166,2.73,1381,22.75,201,3.31,204,3.36,166,2.73,56813.0,,54611.0,52129.0,49287.0,89701.0,6419,5539,73,743,18,0.32,0,0.0,96,12.92,489,8.83,0,0.0,255,34.32,2402,43.37,62,84.93,142,19.11,2630,47.48,11,15.07,250,33.65,61855.0,58043.0,,60298.0,61067.0,,15421172.515625,16875.4850177098
9086,48439122702,48,439,122702,Census Tract 1227.02,48439,,,43830.0,25.62,1711,980,57.28,560,32.73,171,9.99,51,0,0.0,51,100.0,2696,557,20.66,116,20.83,441,79.17,51345.0,77220500.0,70636.0,36165.0,175,13.62,14,1.09,291,22.65,100,7.78,163,12.68,163,12.68,181,14.09,68,5.29,63,4.9,67,5.21,1740,0,0.0,63,0,0.0,1482,0,0.0,403,0,0.0,0,0.0,529,100.0,0,0.0,0,0.0,756,100.0,0,0.0,0,0.0,596,46.38,416,86.67,180,22.36,19,55.88,49,9.9,397,89.01,131,42.26,1740,361,20.75,169,9.71,411,23.62,76,4.37,88,5.06,52,2.99,39250.0,,36296.0,34449.0,54758.0,69565.0,1482,1198,0,284,0,0.0,0,0.0,73,25.7,232,19.37,0,0.0,150,52.82,530,44.24,0,0.0,47,16.55,436,36.39,0,0.0,14,4.93,53145.0,,,52330.0,,,2090075.81640625,7266.42980067952
9108,48439113004,48,439,113004,Census Tract 1130.04,48439,,,30645.0,23.11,1326,879,66.29,405,30.54,42,3.17,0,0,0.0,0,0.0,2646,22,0.83,15,68.18,7,31.82,108129.0,121426600.0,108860.0,56900.0,7,0.66,24,2.26,36,3.39,17,1.6,94,8.85,118,11.11,154,14.5,329,30.98,60,5.65,223,21.0,1718,75,4.37,109,16,9.58,1388,27,2.2,706,32,9.82,13,1.22,938,98.63,5,0.53,8,0.84,111,100.0,0,0.0,0,0.0,190,17.89,59,88.06,131,13.17,24,75.0,131,14.25,35,100.0,0,0.0,1643,321,19.54,198,12.05,573,34.88,67,4.08,92,5.6,54,3.29,51689.0,,40398.0,34653.0,97962.0,69080.0,1388,1198,27,163,9,0.75,0,0.0,0,0.0,371,30.97,0,0.0,36,22.09,405,33.81,0,0.0,66,40.49,413,34.47,27,100.0,61,37.42,69717.0,,,52232.0,41225.0,,3536751.2578125,9998.92540382473
9169,48439111317,48,439,111317,Census Tract 1113.17,48439,,,57340.0,30.04,1909,902,47.25,965,50.55,42,2.2,47,7,14.89,40,85.11,4485,421,9.39,329,78.15,92,21.85,89337.0,210380700.0,110052.0,,82,5.52,95,6.39,75,5.05,43,2.89,125,8.41,207,13.93,171,11.51,100,6.73,74,4.98,514,34.59,2186,55,2.52,304,0,0.0,2458,55,2.87,590,0,0.0,40,2.69,1315,100.0,0,0.0,0,0.0,131,76.61,0,0.0,40,23.39,339,22.81,216,85.71,123,9.97,95,72.52,123,10.39,121,100.0,0,0.0,2131,741,34.77,309,14.5,495,23.23,98,4.6,70,3.28,71,3.33,43086.0,21500.0,48911.0,32097.0,107417.0,165568.0,2458,1864,55,539,254,13.63,0,0.0,30,5.57,475,25.48,36,65.45,102,18.92,657,35.25,19,34.55,217,40.26,478,25.64,0,0.0,190,35.25,121027.0,,,63899.0,58661.0,,35124005.5585938,39181.3551620563
9170,48439122701,48,439,122701,Census Tract 1227.01,48439,,,28095.0,28.82,975,536,54.97,383,39.28,56,5.74,81,0,0.0,81,100.0,2112,481,22.77,320,66.53,161,33.47,39756.0,53513700.0,79833.0,20602.0,144,17.6,171,20.9,57,6.97,55,6.72,62,7.58,16,1.96,91,11.12,50,6.11,107,13.08,65,7.95,1128,98,8.69,86,72,35.82,1080,26,2.91,196,0,0.0,49,5.99,224,100.0,0,0.0,0,0.0,545,91.75,41,6.9,8,1.35,299,36.55,289,96.98,10,2.24,0,0.0,0,0.0,289,100.0,10,4.33,1030,306,29.71,176,17.09,210,20.39,18,1.75,17,1.65,6,0.58,46944.0,24375.0,,50313.0,59107.0,53750.0,1080,867,26,187,123,14.19,0,0.0,27,14.44,78,9.0,26,100.0,109,58.29,217,25.03,0,0.0,41,21.93,449,51.79,0,0.0,10,5.35,62727.0,,,,,,1582082.46484375,5146.71543561066
9191,48439123302,48,439,123302,Census Tract 1233.02,48439,,,31905.0,26.24,1216,693,56.99,447,36.76,76,6.25,44,0,0.0,44,100.0,2501,383,15.31,177,46.21,206,53.79,85000.0,201914300.0,157070.0,70785.0,251,16.03,29,1.85,153,9.77,56,3.58,77,4.92,146,9.32,266,16.99,63,4.02,64,4.09,461,29.44,1564,66,4.22,260,0,0.0,3932,66,5.25,401,0,0.0,49,3.13,563,91.99,20,3.27,29,4.74,954,100.0,0,0.0,0,0.0,384,24.52,186,55.36,198,17.48,11,42.31,127,21.67,175,56.45,71,12.98,1498,922,61.55,78,5.21,263,17.56,80,5.34,0,0.0,53,3.54,33952.0,11838.0,11283.0,32598.0,73235.0,106103.0,3932,1191,66,2675,13,1.09,0,0.0,754,28.19,78,6.55,0,0.0,1010,37.76,283,23.76,39,59.09,623,23.29,817,68.6,27,40.91,288,10.77,94191.0,,,85119.0,,,2797980.6171875,7536.6248543099
